elevation,width_m,length_m,count,system:index,label
0,863.1086294458305,1291.2566255983604,1506,-558171+226008,1
0,526.3048668240074,1051.025873788641,716,-558176+226076,1
0,750.6881776057944,814.0236130290273,662,-558195+224598,1
0,840.8003571269268,1043.2268391902262,808,-558211+225471,1
0,851.5200387694257,990.9472496522187,648,-558215+225573,1
0,645.7312025461114,810.7764261740653,398,-558220+225613,1
0,718.5720304483831,1111.0681948906158,785,-558233+225712,1
0,1157.9490087858408,2402.3172932184284,2579,-558244+225813,1
0,840.7963582127088,897.1804218390281,555,-558249+225353,1
0,810.7967571384904,846.7254237417163,661,-558263+226237,1
0,764.6429671849012,1591.5098625327753,756,-558264+225404,1
0,497.23357201489387,1081.0534697692256,800,-558268+226037,1
0,780.7516129157071,1788.541016506305,1016,-558339+225738,1
0,900.8548752228677,1279.1135478796014,550,-558420+225399,1
0,587.5411679771819,930.8876285435883,556,-558421+225513,1
0,718.8741347098012,810.7776990227092,318,-558453+225652,1
0,1291.242818356624,1730.089510865537,2364,-558512+225742,1
0,702.0656698868909,1651.6091028620565,1701,-558541+226041,1
0,1132.7815290968595,1591.506333458254,1491,-558549+225349,1
0,3063.019490789111,6523.416197604443,22615,-558554+226352,1
0,660.4124595520498,810.7763935317612,434,-558557+225612,1
0,705.2682869462861,1111.057905748592,641,-558564+225482,1
0,1709.1853207524232,2041.9179493539182,4106,-558574+225178,1
0,571.9871978222644,960.9232449095756,722,-558610+225694,1
0,558.6417714261073,930.8838025654284,546,-558649+225411,1
0,1020.9568314105463,1061.1839261120742,1074,-558653+225109,1
0,454.97755872294016,870.8336938077321,304,-558664+225607,1
0,1273.3338587586593,1411.2917162688118,1818,-558693+224573,1
0,808.3571383263992,1141.0849115001713,652,-558700+225448,1
0,1209.267119822101,1261.1786575907786,1782,-558702+225048,1
0,868.8547785883555,1771.668428953157,1775,-558734+225234,1
0,1861.7423292558835,2698.2346320942993,5189,-558749+225090,1
0,1141.10401791782,1259.5655276944774,2209,-558754+225864,1
0,338.873203921603,1321.2407060875828,366,-558773+225160,1
0,1471.3725148819535,1637.576901763725,2480,-558808+225008,1
0,1057.893554961284,1531.4586880057905,1178,-558814+225497,1
0,1163.3526329502208,1531.4421395171214,2058,-558825+225229,1
0,485.1240765823096,900.8553835801284,537,-558852+225413,1
0,559.760487845815,960.9030686472154,451,-558853+225173,1
0,777.6296199555252,930.8925764682864,868,-558866+225645,1
0,750.7059011213485,868.9855621149934,661,-558911+225182,1
0,618.3826517729708,960.9053177524676,528,-558930+225231,1
0,660.6233654449107,1560.144736127674,1222,-558932+225262,1
0,990.9607639056044,1083.3283252450199,962,-558933+225912,1
0,1076.2641042854987,1951.8274631326517,3003,-558962+225102,1
0,500.7378458003512,1050.9888129654655,730,-558982+225200,1
0,660.6399106490851,810.7750550942437,446,-559005+225571,1
0,603.6340075280906,840.7922548074648,382,-559035+225232,1
0,930.8734386481015,1591.3902605307505,1506,-559047+225135,1
0,1145.5899077028275,1261.2034825349024,1569,-559072+225536,1
0,601.8607662500802,960.9191061712427,566,-559079+225587,1
0,2612.576128939087,4932.1108841123905,4562,-559082+226351,1
0,339.17052534848244,840.7857038120164,466,-559090+225039,1
0,736.9825301834493,990.9283492097597,806,-559189+225100,1
0,1261.2127231584993,1481.1258037854025,1573,-559189+225718,1
0,1411.392833550604,2713.20138498576,1458,-559215+226351,1
0,1561.4521610000759,1668.0701671980485,2911,-559226+224940,1
0,570.5394771703901,809.1703180719809,508,-559247+225309,1
0,688.8252182205944,930.8975580511017,741,-559263+225778,1
0,855.1353673540295,1081.0113694753459,776,-559267+225070,1
0,410.57460738248915,840.8085836041175,398,-559317+225714,1
0,1201.120444585474,1976.8121662759931,2753,-559320+225004,1
0,794.8505805102844,1020.9632593943238,681,-559374+225265,1
0,749.3412694573184,1621.5445911714785,1570,-559380+225500,1
0,3903.5744917561956,10544.729514143284,3473,-559406+224625,1
0,470.79000390309557,1050.9941128009,554,-559415+225325,1
0,600.5711270679853,940.5233451523711,683,-559423+225444,1
0,1530.7592830405358,1561.4741020719684,2088,-559464+225288,1
0,897.4960445620097,1261.1927573432768,1314,-559582+225325,1
0,540.4961334971441,1035.7460198207646,543,-559692+224624,1
0,766.2569580922107,870.8168768310387,730,-559703+225128,1
0,8678.521979000023,12424.537907392814,115932,-559745+226350,1
0,589.7386815339905,870.8146615483397,360,-559850+225065,1
0,720.6679264971684,960.0292618156636,565,-559861+224847,1
0,1091.4173652813079,1321.234090331386,1722,-559903+225036,1
0,354.2892525422636,870.8093486586671,263,-559930+224914,1
0,516.2324582968826,1441.3461056836686,578,-559935+225035,1
0,770.1273581687157,1050.9602986555997,742,-559962+224529,1
0,559.9944382919141,900.8447722218741,605,-559970+225121,1
0,2882.7859683782413,4527.782514003456,3290,-559976+225866,1
0,720.6599354706158,947.41632442613,556,-559985+224573,1
0,812.3459867892049,1171.0856409967587,854,-560030+224860,1
0,678.5788601351658,1050.9804951711656,647,-560044+225004,1
0,660.6389823629892,849.4672728427288,135,-560120+225849,1
0,840.8104439578941,894.0523391590159,331,-560125+225769,1
0,690.6647911018781,1099.531426326043,293,-560163+225733,1
0,1120.3725050609394,1681.575006982333,1402,-560211+225106,1
0,352.66076349901175,840.800119978999,354,-560217+225464,1
0,499.9672419158464,840.7971717702849,395,-560228+225377,1
0,750.7042647810719,1134.6118007687191,819,-560249+225128,1
0,960.1492184081839,2041.8930362962192,1648,-560306+224876,1
